Edasich (iota Draconis),iota Draconis,iota Draconis b,8.82,2803.3,510.7,1.275,2002,The Dragon,Visible to the naked eye,3.3
Errai (gamma Cephei),gamma Cephei,gamma Cephei b,1.85,588,903.3,2.05,2003,The King,Visible to the naked eye,3.2
Fomalhaut (alpha Piscis Austrini),Fomalhaut,Fomalhaut b,3,953.5,320000,115,2008,The Southern Fish,Visible to the naked eye,1.2
Pollux (beta Geminorum),Pollux,beta Geminorum b,2.9,921.7,589.64,1.69,2006,The Twins,Visible to the naked eye,1.2
14 Andromedae,14 Andromedae,14 Andromedae b,5.33,1694,185.84,0.83,2008,The Chained Maiden,Visible to the naked eye,5.2
14 Herculis,14 Herculis,14 Herculis b,4.64,1474.7,1773.4,2.77,2002,The Hercules,Visible through binoculars,6.7
16 Cygni B,16 Cygni B,16 Cygni B b,1.68,534,799.5,1.68,1996,The Swan,Very faint to the naked eye,6.2
18 Delphinis,18 Delphinis,18 Delphinis b,10.3,3273.6,993.3,2.6,2008,The Dolphin,Faint to the naked eye,5.5
4 Ursae Majoris,4 Ursae Majoris,4 Ursae Majoris b,7.1,2256.6,269.3,0.87,2007,The Great Bear,Faint to the naked eye,5.8
42 Draconis,42 Draconis,42 Draconis b,3.88,1233.2,479.1,1.19,2008,The Dragon,Visible to the naked eye,4.8
51 Pegasi,51 Pegasi,51 Pegasi b,0.47,148.7,4.23,0.052,1995,The Winged Horse,Visible to the naked eye,5.5
6 Lyncis,6 Lyncis,6 Lyncis b,2.4,762.8,899,2.2,2008,The Lynx,Faint to the naked eye,5.9
70 Virginis,70 Virginis,70 Virginis b,6.6,2097.7,116.67,0.48,1996,The Maiden,Visible to the naked eye,5
81 Ceti,81 Ceti,81 Ceti b,5.3,1684.5,952.7,2.5,2008,The Sea Monster,Faint to the naked eye,5.7
BD-10 3166,BD-10 3166,BD-10 3166 b,0.48,152.6,3.49,0.046,2000,The Cup,,10.1
BD-17 63,BD-17 63,BD-17 63 b,5.1,1620.9,655.6,1.34,2008,The Sea Monster,Visible through binoculars,9.6
beta Pictoris,beta Pictoris,beta Pictoris b,7,2224.8,7890,9.04,2008,The Painter's Easel,Visible to the naked eye,3.9
CoRoT-1,CoRoT-1,CoRoT-1 b,1.03,327.4,1.51,0.0254,2007,The Unicorn,,13.6
CoRoT-2,CoRoT-2,CoRoT-2 b,3.31,1052,1.74,0.0281,2007,The Eagle,,12.6
CoRoT-4,CoRoT-4,CoRoT-4 b,0.72,228.8,9.2,0.09,2008,The Unicorn,,13.7
epsilon Eridani,epsilon Eridani,epsilon Eridani b,1.55,492.6,2502,3.39,2000,The River,Visible to the naked eye,3.7
epsilon Reticuli,epsilon Reticuli,epsilon Reticuli b,1.35,429.1,415.2,1.16,2000,The Reticle,Visible to the naked eye,4.4
epsilon Tauri,epsilon Tauri,epsilon Tauri b,7.6,2415.5,594.9,1.93,2007,The Bull,Visible to the naked eye,3.5
GJ 176,GJ 176,GJ 176 b,0.03,8.4,8.78,0.066,2007,The Bull,Visible through binoculars,10
GJ 436,GJ 436,GJ 436 b,0.07,23.4,2.64,0.02887,2004,The Lion,,10.7
GJ 674,GJ 674,GJ 674 b,0.04,11.8,4.69,0.039,2007,The Altar,Visible through binoculars,9.4
GJ 832,GJ 832,GJ 832 b,0.64,203.4,3416,3.4,2008,The Crane,Visible through binoculars,8.7
GJ 849,GJ 849,GJ 849 b,0.9,286,1914,2.35,2006,The Water Bearer,,10.4
GJ 86,GJ 86,GJ 86 b,4.01,1274.5,15.77,0.11,2000,The River,Very faint to the naked eye,6.2
HAT-P-1,HAT-P-1,HAT-P-1 b,0.53,166.9,4.47,0.05561,2006,The Lizard,,10.4
HAT-P-2,HAT-P-2,HAT-P-2 b,8.74,2777.8,5.63,0.0674,2007,The Hercules,Visible through binoculars,8.7
HAT-P-3,HAT-P-3,HAT-P-3 b,0.59,187.8,2.9,0.03866,2007,The Great Bear,,11.9
HAT-P-4,HAT-P-4,HAT-P-4 b,0.68,216.1,3.06,0.0446,2007,The Herdsman,,11.2
HAT-P-5,HAT-P-5,HAT-P-5 b,1.06,336.9,2.79,0.04079,2007,The Lyre,,12
HAT-P-6,HAT-P-6,HAT-P-6 b,1.06,335.9,3.85,0.05235,2007,The Chained Maiden,,10.5
HAT-P-7,HAT-P-7,HAT-P-7 b,1.74,553.3,2.2,0.0379,2008,The Swan,,10.5
HAT-P-8,HAT-P-8,HAT-P-8 b,1.34,425.9,3.08,0.0449,2008,The Winged Horse,,10.2
HAT-P-9,HAT-P-9,HAT-P-9 b,0.67,212.9,3.92,0.053,2008,The Charioteer,,12.3
HD 100777,HD 100777,HD 100777 b,1.16,368.7,383.7,1.03,2007,The Lion,Visible through binoculars,8.4
HD 101930,HD 101930,HD 101930 b,0.3,95.3,70.46,0.302,2005,The Centaur,Visible through binoculars,8.2
HD 102117,HD 102117,HD 102117 b,0.17,54.7,20.67,0.1532,2004,The Centaur,Visible through binoculars,7.5
HD 102195,HD 102195,HD 102195 b,0.45,143,4.11,0.049,2005,The Maiden,Visible through binoculars,8.1
HD 102272,HD 102272,HD 102272 b,5.9,1875.2,127.58,0.614,2008,The Lion,Visible through binoculars,8.7
HD 104985,HD 104985,HD 104985 b,6.3,2002.3,198.2,0.78,2003,The Giraffe,Faint to the naked eye,5.8
HD 106252,HD 106252,HD 106252 b,7.56,2402.8,1600,2.7,2002,The Maiden,Visible through binoculars,7.4
HD 10647,HD 10647,HD 10647 b,0.93,295.6,1003,2.03,2003,The River,Faint to the naked eye,5.5
HD 10697,HD 10697,HD 10697 b,6.38,2027.8,1076.4,2.16,2000,The Fishes,Very faint to the naked eye,6.3
HD 107148,HD 107148,HD 107148 b,0.21,66.7,48.06,0.269,2006,The Maiden,Visible through binoculars,8
HD 108147,HD 108147,HD 108147 b,0.26,83,10.9,0.102,2002,The Southern Cross,Visible through binoculars,7
HD 109749,HD 109749,HD 109749 b,0.28,89,5.24,0.0635,2005,The Centaur,Visible through binoculars,8.1
HD 111232,HD 111232,HD 111232 b,6.8,2161.2,1143,1.97,2004,The Fly,Visible through binoculars,7.6
HD 114386,HD 114386,HD 114386 b,1.24,394.1,937,1.02,2003,The Centaur,Visible through binoculars,8.7
HD 114729,HD 114729,HD 114729 b,0.84,267,1135,2.08,2002,The Centaur,Visible through binoculars,6.7
HD 114762,HD 114762,HD 114762 b,10.98,3489.8,83.92,0.353,1989,The Bernice's Hair,Visible through binoculars,7.3
HD 114783,HD 114783,HD 114783 b,1,317.8,501,1.2,2001,The Maiden,Visible through binoculars,7.6
HD 11506,HD 11506,HD 11506 b,3.44,1093.3,1270,2.43,2007,The Sea Monster,Visible through binoculars,7.5
HD 117207,HD 117207,HD 117207 b,2.06,654.7,2627.08,3.78,2004,The Centaur,Visible through binoculars,7.3
HD 117618,HD 117618,HD 117618 b,0.18,56.6,25.83,0.176,2004,The Centaur,Visible through binoculars,7.2
HD 118203,HD 118203,HD 118203 b,2.13,677,6.13,0.07,2005,The Great Bear,Visible through binoculars,8.1
HD 11977,HD 11977,HD 11977 b,6.54,2078.6,711,1.93,2005,The Male Water Snake,Visible to the naked eye,4.7
HD 121504,HD 121504,HD 121504 b,1.22,387.8,63.33,0.33,2003,The Centaur,Visible through binoculars,7.5
HD 1237,HD 1237,HD 1237 b,3.37,1071.1,133.71,0.49,2000,The Male Water Snake,Visible through binoculars,6.6
HD 125612,HD 125612,HD 125612 b,3,953.5,502,1.37,2007,The Maiden,Visible through binoculars,8.3
HD 130322,HD 130322,HD 130322 b,1.02,324.2,10.72,0.088,1999,The Maiden,Visible through binoculars,8.1
HD 13189,HD 13189,HD 13189 b,14,4449.6,471.6,1.85,2005,The Triangle,Visible through binoculars,7.6
HD 132406,HD 132406,HD 132406 b,5.61,1783,974,1.98,2007,The Herdsman,Visible through binoculars,8.5
HD 134987,HD 134987,HD 134987 b,1.59,505.3,258.19,0.81,1999,The Scales,Very faint to the naked eye,6.5
HD 136118,HD 136118,HD 136118 b,11.7,3718.6,1187.3,2.3,2002,The Serpent,Visible through binoculars,6.9
HD 139357,HD 139357,HD 139357 b,9.76,3102,1125.7,2.36,2008,The Dragon,Faint to the naked eye,6
HD 141937,HD 141937,HD 141937 b,9.7,3083,653.22,1.52,2002,The Scales,Visible through binoculars,7.3
HD 142,HD 142,HD 142 b,1.25,397.3,349.7,1.02,2001,The Phoenix,Faint to the naked eye,5.7
HD 142022 A,HD 142022 A,HD 142022 A b,5.1,1620.9,1928,3.03,2005,The Octant,Visible through binoculars,7.7
HD 142415,HD 142415,HD 142415 b,1.62,514.9,386.3,1.05,2003,The Carpenter's Square,Visible through binoculars,7.3
HD 143361,HD 143361,HD 143361 b,3.12,991.6,1057,2,2008,The Carpenter's Square,Visible through binoculars,9.2
HD 145377,HD 145377,HD 145377 b,5.76,1830.7,103.95,0.45,2008,The Scorpion,Visible through binoculars,8.1
HD 147513,HD 147513,HD 147513 b,1.21,384.6,528.4,1.32,2003,The Scorpion,Visible to the naked eye,5.4
HD 149026,HD 149026,HD 149026 b,0.36,113.1,2.88,0.04288,2005,The Hercules,Visible through binoculars,8.2
HD 149143,HD 149143,HD 149143 b,1.36,432.2,4.09,0.052,2005,The Serpent Holder,Visible through binoculars,7.9
HD 153950,HD 153950,HD 153950 b,2.73,867.7,499.4,1.28,2008,The Scorpion,Visible through binoculars,7.4
HD 154345,HD 154345,HD 154345 b,1,317.8,3538,4.3,2006,The Hercules,Visible through binoculars,6.7
HD 154672,HD 154672,HD 154672 b,5.02,1595.5,163.91,0.6,2008,The Altar,Visible through binoculars,8.2
HD 154857,HD 154857,HD 154857 b,2.24,711.9,408.6,1.291,2004,The Altar,Visible through binoculars,7.3
HD 156846,HD 156846,HD 156846 b,11,3496.1,359.51,1.12,2008,The Serpent Holder,Visible through binoculars,6.5
